Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
175,Entry long,2024-05-02 22:55,AL,19456,76,29573120,-25087.6,-0.08,14816.2,0.05,-25083.8,-0.08,1234305,24.69
176,Exit long,2024-05-03 02:00,a-l-sl,19439.5,77,29962240,-25417.7,-0.08,15011.15,0.05,-25413.85,-0.08,1208891.2,24.18
176,Entry long,2024-05-02 22:55,AL,19456,77,29962240,-25417.7,-0.08,15011.15,0.05,-25413.85,-0.08,1208891.2,24.18
177,Exit short,2024-05-06 02:40,a-s-sl,19715.5,76,29942480,-25087.6,-0.08,28116.2,0.09,-25083.8,-0.08,1183799.8,23.68
177,Entry short,2024-05-05 20:35,AS,19699,76,29942480,-25087.6,-0.08,28116.2,0.09,-25083.8,-0.08,1183799.8,23.68
178,Exit short,2024-05-06 02:40,a-s-sl,19715.5,76,29942480,-25087.6,-0.08,28116.2,0.09,-25083.8,-0.08,1158716,23.17
178,Entry short,2024-05-05 20:35,AS,19699,76,29942480,-25087.6,-0.08,28116.2,0.09,-25083.8,-0.08,1158716,23.17
179,Exit short,2024-05-07 00:00,a-s-sl,19887,78,30998760,-24967.8,-0.08,7406.1,0.02,-24963.9,-0.08,1133744.2,22.67
179,Entry short,2024-05-06 21:15,AS,19871,78,30998760,-24967.8,-0.08,7406.1,0.02,-24963.9,-0.08,1133744.2,22.67
180,Exit short,2024-05-07 00:00,a-s-sl,19887,78,30998760,-24967.8,-0.08,7406.1,0.02,-24963.9,-0.08,1108780.4,22.18
180,Entry short,2024-05-06 21:15,AS,19871,78,30998760,-24967.8,-0.08,7406.1,0.02,-24963.9,-0.08,1108780.4,22.18
181,Exit long,2024-05-07 13:50,n-l-sl,19891.5,26,10368540,-24962.6,-0.24,12218.7,0.12,-24961.3,-0.24,1083816.5,21.68
181,Entry long,2024-05-07 11:30,NL,19939.5,26,10368540,-24962.6,-0.24,12218.7,0.12,-24961.3,-0.24,1083816.5,21.68
182,Exit long,2024-05-07 13:50,n-l-sl,19891.5,26,10368540,-24962.6,-0.24,12218.7,0.12,-24961.3,-0.24,1058855.2,21.18
182,Entry long,2024-05-07 11:30,NL,19939.5,26,10368540,-24962.6,-0.24,12218.7,0.12,-24961.3,-0.24,1058855.2,21.18
183,Exit long,2024-05-08 15:50,ny-eod-flat,19880.75,54,21429900,41304.6,0.19,56967.3,0.27,-7562.7,-0.04,1100159.8,22.00
183,Entry long,2024-05-08 13:00,NL,19842.5,54,21429900,41304.6,0.19,56967.3,0.27,-7562.7,-0.04,1100159.8,22.00
184,Exit long,2024-05-08 23:55,a-l-sl,19854.75,84,33376560,-20588.4,-0.06,3775.8,0.01,-20584.2,-0.06,1079567.1,21.59
184,Entry long,2024-05-08 22:00,AL,19867,84,33376560,-20588.4,-0.06,3775.8,0.01,-20584.2,-0.06,1079567.1,21.59
